country,year,mean_temp,mean_temp_c
ESP,1981,55.95424325381306,13
FIN,1981,29.41196581196581,-1
FRA,1981,52.49278350515464,11
GBR,1981,45.11153846153846,7
GRC,1981,58.040293040293044,14
IRL,1981,48,9
ITA,1981,52.611301369863014,11
LUX,1981,47.82051282051282,9
NLD,1981,47.47692307692308,9
PRT,1981,56.28476821192053,13
SWE,1981,35.22879177377892,2
AUT,1982,37.175824175824175,3
BEL,1982,46.892857142857146,8
DEU,1982,42.551901336073996,6
DNK,1982,43.964285714285715,7
ESP,1982,53.74644175013179,12
FIN,1982,32.31604938271605,0
FRA,1982,48.680238870792614,9
GBR,1982,44.808928571428574,7
GRC,1982,55.00512820512821,13
IRL,1982,45.910714285714285,8
ITA,1982,49.39009661835749,10
LUX,1982,42.357142857142854,6
NLD,1982,46.885714285714286,8
PRT,1982,57.129464285714285,14
SWE,1982,35.42142857142857,2
AUT,1983,42.0679012345679,6
BEL,1983,46.5,8
DEU,1983,44.57052631578947,7
DNK,1983,41.44117647058823,5
ESP,1983,54.83654688869413,13
FIN,1983,35.174509803921566,2
FRA,1983,48.361702127659576,9
GBR,1983,41.59852941176471,5
GRC,1983,58.61344537815126,15
IRL,1983,43.36029411764706,6
ITA,1983,50.27290836653386,10
LUX,1983,43.14705882352941,6
NLD,1983,45.18235294117647,7
PRT,1983,56.06985294117647,13
SWE,1983,36.25,2
AUT,1984,35.4,2
BEL,1984,41.45161290322581,5
DEU,1984,38.15632079746262,3
DNK,1984,35.806451612903224,2
ESP,1984,53.74304889741131,12
FIN,1984,23.66236559139785,-5
FRA,1984,44.90648148148148,7
GBR,1984,40.040650406504064,4
GRC,1984,53.884792626728114,12
IRL,1984,42.306451612903224,6
ITA,1984,45.56502732240437,8
LUX,1984,38.61290322580645,4
NLD,1984,39.909677419354836,4
PRT,1984,56.08870967741935,13
SWE,1984,28.525806451612905,-2
AUT,1985,39.24517906336088,4
BEL,1985,45.973684210526315,8
DEU,1985,42.51062271062271,6
DNK,1985,45,7
ESP,1985,62.001663893510816,17
FIN,1985,34.62982456140351,1
FRA,1985,50.85959557420832,10
GBR,1985,46.22459222082811,8
GRC,1985,59.859848484848484,15
IRL,1985,48.807432432432435,9
ITA,1985,54.3898756660746,12
LUX,1985,42.5,6
NLD,1985,46.28421052631579,8
PRT,1985,63.99342105263158,18
SWE,1985,37.83377308707124,3
AUT,1986,46.105442176870746,8
BEL,1986,53.806451612903224,12
DEU,1986,49.884819064430715,10
DNK,1986,48.03225806451613,9
ESP,1986,63.00602712204922,17
FIN,1986,38.39784946236559,4
FRA,1986,57.439059500959694,14
GBR,1986,50.21812596006144,10
GRC,1986,63.70967741935484,18
IRL,1986,51.899193548387096,11
ITA,1986,58.31321540062435,15
LUX,1986,50.58064516129032,10
NLD,1986,52.83225806451613,12
PRT,1986,65.36693548387096,19
SWE,1986,42.02605863192182,6
AUT,1987,39.995423340961096,4
BEL,1987,49.06666666666667,9
DEU,1987,44.73983270839342,7
DNK,1987,39.144444444444446,4
ESP,1987,56.67552828902522,14
FIN,1987,29.665185185185184,-1
FRA,1987,50.52892030848329,10
GBR,1987,45.304761904761904,7
GRC,1987,54.84126984126984,13
IRL,1987,46.85432098765432,8
ITA,1987,48.874722016308375,9
LUX,1987,45.62222222222222,8
NLD,1987,47.022222222222226,8
PRT,1987,57.31476323119777,14
SWE,1987,34.39555555555555,1
AUT,1988,36.367231638418076,2
BEL,1988,45.421052631578945,7
DEU,1988,40.84922118380062,5
DNK,1988,37.60526315789474,3
ESP,1988,55.796325878594246,13
FIN,1988,29.080701754385966,-2
FRA,1988,49.038699690402474,9
GBR,1988,44.376315789473686,7
GRC,1988,54.578947368421055,13
IRL,1988,46.25748502994012,8
ITA,1988,47.45614035087719,9
LUX,1988,42.10526315789474,6
NLD,1988,44.14736842105263,7
PRT,1988,57.17218543046358,14
SWE,1988,31.8,-0
AUT,1989,45.712,8
BEL,1989,53.18518518518518,12
DEU,1989,50.74134151687856,10
DNK,1989,50.5,10
ESP,1989,61.74069961132704,17
FIN,1989,35.782716049382714,2
FRA,1989,55.243993593166046,13
GBR,1989,49.87477954144621,10
GRC,1989,61.55555555555556,16
IRL,1989,51.09465020576132,11
ITA,1989,54.160628019323674,12
LUX,1989,50.44444444444444,10
NLD,1989,53.148148148148145,12
PRT,1989,62.958333333333336,17
SWE,1989,40.974074074074075,5
AUT,1990,42.078125,6
BEL,1990,47.05,8
DEU,1990,44.865795724465556,7
DNK,1990,43.55,6
ESP,1990,55.61911987860395,13
FIN,1990,29.923333333333332,-1
FRA,1990,49.045096635647816,9
GBR,1990,44.04156479217604,7
GRC,1990,57.94375,14
IRL,1990,45.96111111111111,8
ITA,1990,50.14589665653495,10
LUX,1990,44.95,7
NLD,1990,46.32,8
PRT,1990,56.89375,14
SWE,1990,36.321608040201006,2
AUT,1991,36.64978902953587,3
BEL,1991,47.72,9
DEU,1991,42.111507936507934,6
DNK,1991,44.04,7
ESP,1991,57.01273885350319,14
FIN,1991,35.11714285714286,2
FRA,1991,49.2513028372901,10
GBR,1991,46.74236641221374,8
GRC,1991,61.24,16
IRL,1991,47.96,9
ITA,1991,50.70034443168772,10
LUX,1991,43,6
NLD,1991,48.35,9
PRT,1991,61.025380710659896,16
SWE,1991,38.228,3
AUT,1992,38.01851851851852,3
DEU,1992,39.9546783625731,4
DNK,1992,42.91423076923077,6
ESP,1992,51.03045685279188,11
FIN,1992,32.80952380952381,0
FRA,1992,45.86145648312611,8
GBR,1992,42.57936507936508,6
GRC,1992,53.857142857142854,12
IRL,1992,47.059059829059834,8
ITA,1992,48.182539682539684,9
